osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1001793791,24.5899439,81.1273491,MINING,,,,,quarry,,
way_1001794526,23.5549295,84.623732,MINING,,,,,quarry,,
way_1001794527,23.5530019,84.6163452,MINING,,,,,quarry,,
way_1001794528,23.5486252,84.6156585,MINING,,,,,quarry,,
way_1001794529,23.5538379,84.5899334,MINING,,,,,quarry,,
way_1001794530,23.548335,84.5928919,MINING,,,,,quarry,,
way_1001794531,23.5421387,84.6086204,MINING,,,,,quarry,,
way_1001794532,23.543555,84.603669,MINING,,,,,quarry,,
way_1001794533,23.5384796,84.5997048,MINING,,,,,quarry,,
way_1001797463,26.2748685,76.0861373,MINING,,,,,quarry,,
way_1001797464,26.3965427,76.740725,MINING,,,,,quarry,,
way_1001800186,29.866847,79.8697578,MINING,,,,,quarry,,
way_1001800187,29.8657771,79.8625749,MINING,,,,,quarry,,
way_1001982884,31.229406,76.4614105,MINING,,,,,quarry,,
way_1001982885,31.2310044,76.451894,MINING,,,,,quarry,,
way_1001982886,31.2229126,76.4364231,MINING,,,,,quarry,,
way_1001982887,31.2315802,76.4237416,MINING,,,,,quarry,,
way_1001982888,31.2280183,76.4277595,MINING,,,,,quarry,,
way_1001982889,31.2401596,76.412369,MINING,,,,,quarry,,
way_1001982890,31.2487226,76.3994328,MINING,,,,,quarry,,
way_1001982891,31.2526528,76.3848897,MINING,,,,,quarry,,
way_1001982892,31.2625351,76.3594571,MINING,,,,,quarry,,
way_1001982893,31.2674976,76.3524391,MINING,,,,,quarry,,
way_1002782161,23.8257034,76.8243832,MINING,,,,,quarry,,
way_1002782187,24.4049835,76.55429,MINING,,,,,quarry,,
way_1002878025,23.9059269,76.6051984,MINING,,,,,quarry,,
way_1002878039,24.0373125,76.597538,MINING,,,,,quarry,,
way_1002878060,23.9374375,76.8381643,MINING,,,,,quarry,,
way_1007814640,31.5005026,79.7954059,MINING,,,,,quarry,,
way_1008781225,27.3603954,75.9593331,MINING,,,,,quarry,,
way_1008781240,27.2696695,75.9796214,MINING,,,,,quarry,,
