latitude,longitude,site_name,site_type,category,source,osm_id,osm_type
28.5172229,82.3540677,,forest,FOREST,OpenStreetMap,465430877,way
28.514124,82.359651,,forest,FOREST,OpenStreetMap,465430878,way
28.5221002,82.340254,,forest,FOREST,OpenStreetMap,465430879,way
28.5156896,82.3452197,,forest,FOREST,OpenStreetMap,465430884,way
28.5107251,82.3698115,,wood,FOREST,OpenStreetMap,465430894,way
28.5111313,82.3517616,,forest,FOREST,OpenStreetMap,465430900,way
28.519926,82.3551403,,forest,FOREST,OpenStreetMap,465430910,way
28.5205121,82.35052,,forest,FOREST,OpenStreetMap,465430912,way
28.5190388,82.3337788,,forest,FOREST,OpenStreetMap,465430914,way
28.5266048,82.3594001,,forest,FOREST,OpenStreetMap,465430915,way
28.5112618,82.3649367,,forest,FOREST,OpenStreetMap,465430916,way
28.5200829,82.3479115,,forest,FOREST,OpenStreetMap,465430917,way
28.5158259,82.3666213,,forest,FOREST,OpenStreetMap,465430918,way
28.5187825,82.3590966,,forest,FOREST,OpenStreetMap,465430919,way
28.5300043,82.357574,,forest,FOREST,OpenStreetMap,465430920,way
28.4989722,82.3317031,,forest,FOREST,OpenStreetMap,465608843,way
28.4655086,82.3046783,,forest,FOREST,OpenStreetMap,465608848,way
28.5107243,82.3026589,,forest,FOREST,OpenStreetMap,465608851,way
28.5012676,82.2990696,,forest,FOREST,OpenStreetMap,465608855,way
28.5043037,82.3135239,,forest,FOREST,OpenStreetMap,465608860,way
28.5145927,82.2952322,,forest,FOREST,OpenStreetMap,465608865,way
28.5025798,82.3265533,,forest,FOREST,OpenStreetMap,465608870,way
28.4857034,82.3111742,,forest,FOREST,OpenStreetMap,465608875,way
28.4832439,82.3142282,,forest,FOREST,OpenStreetMap,465608876,way
28.5038037,82.2933253,,forest,FOREST,OpenStreetMap,465608877,way
28.497745,82.2946101,,forest,FOREST,OpenStreetMap,465608878,way
28.4971671,82.3386871,,forest,FOREST,OpenStreetMap,465608879,way
28.4813417,82.3206013,,forest,FOREST,OpenStreetMap,465608880,way
28.5094138,82.2967717,,forest,FOREST,OpenStreetMap,465608881,way
28.5080411,82.3136898,,forest,FOREST,OpenStreetMap,465608882,way
28.4703119,82.3046062,,forest,FOREST,OpenStreetMap,465608883,way
28.506236,82.309467,,forest,FOREST,OpenStreetMap,465608884,way
28.5090949,82.2572487,,forest,FOREST,OpenStreetMap,465844345,way
28.4916455,82.2539976,,forest,FOREST,OpenStreetMap,465847651,way
28.5018388,82.2636131,,forest,FOREST,OpenStreetMap,465847652,way
28.4953892,82.2730121,,forest,FOREST,OpenStreetMap,465847653,way
28.4909477,82.2745171,,forest,FOREST,OpenStreetMap,465847654,way
28.4926139,82.2633338,,forest,FOREST,OpenStreetMap,465847655,way
28.5067207,82.2667312,,forest,FOREST,OpenStreetMap,465847656,way
28.5006305,82.2746551,,forest,FOREST,OpenStreetMap,465847657,way
28.4763581,82.2831228,,forest,FOREST,OpenStreetMap,465864547,way
28.4883971,82.2911272,,forest,FOREST,OpenStreetMap,465864548,way
28.4697307,82.2826429,,forest,FOREST,OpenStreetMap,465864549,way
28.4835365,82.2493977,,forest,FOREST,OpenStreetMap,465864550,way
28.4844143,82.2749637,,forest,FOREST,OpenStreetMap,465864551,way
28.4804758,82.263357,,forest,FOREST,OpenStreetMap,465864552,way
28.4795211,82.2936036,,forest,FOREST,OpenStreetMap,466035874,way
28.4896393,82.299403,,forest,FOREST,OpenStreetMap,466035875,way
