osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1321900150,31.2110086,83.8302125,INDUSTRIAL,,,plant,solar,,,
way_1324693897,30.5671792,77.9957969,INDUSTRIAL,,,plant,solar,,,
way_1324693898,30.567642,77.9964368,INDUSTRIAL,,,,,industrial,,
way_1324696248,30.5882785,78.0074033,INDUSTRIAL,,,,,industrial,,
way_1328485100,25.3161222,83.1495681,INDUSTRIAL,Brick yards,,,,industrial,,
way_1328485101,25.3167375,83.1455251,INDUSTRIAL,Brick yards,,,,industrial,,
way_1331479321,30.1482895,78.6702636,INDUSTRIAL,,,,,industrial,,
way_1331479322,30.1493053,78.674494,INDUSTRIAL,,,,,industrial,,
way_1335026374,30.1169266,75.4364263,INDUSTRIAL,,,plant,hydro,,,
way_1337119285,28.9227051,77.6656483,INDUSTRIAL,,,,,industrial,,
way_1339456799,28.2232786,77.5948504,INDUSTRIAL,,,,,industrial,,
way_1339456800,28.2197406,77.5949268,INDUSTRIAL,,,,,industrial,,
way_1339460198,28.7465871,77.3565341,INDUSTRIAL,,,,,industrial,kiln,
way_1339460199,28.748436,77.3535011,INDUSTRIAL,,,,,industrial,kiln,
way_1339494819,25.0192636,83.6000382,INDUSTRIAL,Brick yard,,,,industrial,,
way_1339798134,25.021448,83.5961565,INDUSTRIAL,Brick yard,,,,industrial,,
way_1340099730,25.2588202,83.2889143,INDUSTRIAL,,,,,industrial,,
way_1341276430,25.3085345,83.0640849,INDUSTRIAL,,,,,industrial,,
way_1341288385,25.3096612,83.1033081,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316771,25.3130507,83.135797,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316772,25.3103358,83.1321777,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316773,25.3159335,83.1324166,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316774,25.3174895,83.1318582,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316777,25.3087174,83.1300775,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341316781,25.3105105,83.1425136,INDUSTRIAL,Brick yards,,,,industrial,,
way_1341512577,25.3144227,83.1173016,INDUSTRIAL,Brick yards,,,,industrial,,
way_1342572139,25.3765968,83.1860133,INDUSTRIAL,Brick yards,,,,industrial,,
way_1342572145,25.3985507,83.2000248,INDUSTRIAL,Brick yards,,,,industrial,,
way_1344895228,25.3092244,83.1540952,INDUSTRIAL,Brick yards,,,,industrial,,
way_1344895230,25.299407,83.1574517,INDUSTRIAL,Brick yards,,,,industrial,,
way_1344895245,25.30187,83.1447567,INDUSTRIAL,Brick yards,,,,industrial,,
way_1344895247,25.3073181,83.1448814,INDUSTRIAL,Brick yards,,,,industrial,,
way_1344895248,25.3047709,83.1472806,INDUSTRIAL,Brick yards,,,,industrial,,
way_1348383393,25.309912,83.1469581,INDUSTRIAL,Brick yards,,,,industrial,,
way_1348972588,25.5721483,83.5443676,INDUSTRIAL,Brick yards,,,,industrial,,
way_1348980162,25.5663109,83.536952,INDUSTRIAL,Brick yards,,,,industrial,,
way_1348995038,25.5695335,83.5362563,INDUSTRIAL,Brick yards,,,,industrial,,
way_1348995039,25.5715622,83.5367954,INDUSTRIAL,Brick yards,,,,industrial,,
way_1349186565,25.5344544,83.4912916,INDUSTRIAL,Brick yards,,,,industrial,,
way_1349186589,25.5324672,83.5141151,INDUSTRIAL,Brick yards,,,,industrial,,
way_1349186884,25.5690328,83.5350725,INDUSTRIAL,Brick yards,,,,industrial,,
way_1349776603,25.4106655,78.4799928,INDUSTRIAL,Badanpur,,plant,solar,,,
way_1349785071,28.2026412,79.8363992,INDUSTRIAL,,,plant,solar,,,
way_1351181315,25.5143444,83.4684444,INDUSTRIAL,Brick yards,,,,industrial,,
way_1351181316,25.514922,83.4653774,INDUSTRIAL,Brick yards,,,,industrial,,
way_1351838025,25.5385478,83.2349232,INDUSTRIAL,,,,,industrial,,
way_1351838029,25.529187,83.2391287,INDUSTRIAL,Brick yards,,,,industrial,,
way_1352770487,28.8321576,76.9291648,INDUSTRIAL,Maruti Suzuki Manufacturing Plant Kharkhoda,,,,,works,Maruti Suzuki
way_1353096687,28.6048043,77.1260395,INDUSTRIAL,Area Depot,warehouse,,,industrial,,
way_1355376202,25.5737823,83.5337166,INDUSTRIAL,Brick yards,,,,industrial,,
way_1355376206,25.5748766,83.5248644,INDUSTRIAL,Brick yards,,,,industrial,,
way_1357179493,25.1848532,82.9891155,INDUSTRIAL,Brick yards,,,,industrial,,
way_1357179494,25.1824431,82.9882923,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359070906,25.3922399,83.0489017,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359070907,25.3928089,83.0506051,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359070909,25.3892345,83.0498371,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359070910,25.387195,83.0511602,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359070911,25.3862316,83.0494278,INDUSTRIAL,Brick yards,,,,industrial,,
way_1359634543,25.5296706,83.1391512,INDUSTRIAL,Brick yards,,,,industrial,,
way_1360303504,27.9686858,77.6262669,INDUSTRIAL,,brickyard,,,industrial,,Mr.  Narendra Singh
way_1360305031,27.9707016,77.6277973,INDUSTRIAL,Bhatta 2,brewery,,,industrial,,Mr. Laur
way_1360315525,24.7609335,84.3675042,INDUSTRIAL,South Bihar Power Distribution Company Ltd.,,plant,,industrial,,
way_1360369346,28.338382,76.878152,INDUSTRIAL,,,,,industrial,,
way_1360369347,28.3376914,76.8790575,INDUSTRIAL,,,,,industrial,,
way_1360555822,28.603959,77.3644635,INDUSTRIAL,,,,,,works,
way_1360610956,25.3740739,83.0695474,INDUSTRIAL,Brick yards,,,,industrial,,
way_1360612601,25.3765315,83.1141761,INDUSTRIAL,Brick yards,,,,industrial,,
way_1360621847,26.7987195,83.3546957,INDUSTRIAL,Madhu Enterprises,,,,,works,
way_1360664769,25.3956733,83.133517,INDUSTRIAL,Brick yards,,,,industrial,,
way_1360667872,29.6779539,75.5772819,INDUSTRIAL,small gaushala,slaughterhouse,,,industrial,,
way_1360684891,30.3937988,79.3136088,INDUSTRIAL,"PTCUL KOTHIYALSAIN ,CHAMOLI",,plant,,industrial,,
way_1360687873,28.7975622,76.1632233,INDUSTRIAL,,,,,,works,
way_1360902088,28.7477132,77.0543636,INDUSTRIAL,Rohini Sector 37 Bus Depot 2,bus_depot,,,industrial,,Delhi Transport Corporation
