grid_id,latitude,longitude,industrial_fire_risk,risk_level,risk_rank,industrial_fire_candidate,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,industrial_context_score,industrial_area_count,factory_count,warehouse_count,power_plant_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,recent_thermal_score,has_recent_firms,has_industrial_context
25.10_84.00,25.126109125,84.027302484375,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.65_76.55,25.674815638214564,76.57598255285826,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
26.00_78.70,26.02641087401575,78.72524345669291,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.10_83.80,25.125272734436564,83.82632143420015,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.90_78.20,25.925396035313003,78.22600707865168,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.10_83.95,25.12314744167337,83.97380341110218,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.00_83.85,25.026912220434436,83.87555784392599,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.85_78.05,25.87868183075671,78.07578561432058,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.75_76.60,25.775774140179298,76.62491290953545,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.00_83.95,25.026297481358743,83.97734874067936,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.05_83.85,25.076396011656957,83.87702016652788,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.05_83.90,25.0745780251046,83.92352764853557,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.55_76.55,25.577671835708298,76.57360046102262,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
24.30_81.30,24.32844326599327,81.32653601851852,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
25.00_83.90,25.02694316722973,83.9247823902027,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.80_78.00,25.82382055124892,78.02579189491817,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.15_84.05,25.174222720970537,84.07622075389949,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.70_76.60,25.727633266022828,76.62420125548726,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.70_76.55,25.724378821428573,76.57414026785715,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.10_83.75,25.125654860986547,83.77523095964125,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.15_83.90,25.174194580703336,83.9262273669973,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.60_76.55,25.62385804524887,76.57467437104073,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
